issues_title,issues_created_at,issues_thread_id,issues_thread_creator,issues_thread_creator_affiliation,issues_comment_id,issues_comment_type,issues_comment_text,issues_comment_author,issues_comment_author_affiliation,issues_time_to_close,issues_time_to_first_response,issues_no_of_comments,issues_commits,issues_checks,issues_files_changed,issues_lines_changed
[fix] Added option to publish to specific camera frame on camera publisher,2018-10-06T09:08:26Z,367439179,amc-nu,tier4,,,,,missing,,,0,9,0,8,218
Feature/gitlab ci,2018-10-10T08:25:18Z,366800316,sgermanserrano,missing,428483087,answered,"@sgermanserrano Thank you for the great contribution! Everything seems fine under the Gitlab-CI infrastructure. Would you tell me the following questions (your experience)?

- Is it stable compared to Travis in your trials? Does network error or other error appear sometimes in your experience?
- How long does the current tests (build & run_tests) takes? It seems there are one and half hour (1:23:18) and more than two hours (02:15:58). Does the difference between one and half hour and more than two hours seem to come from GitLab server load (or difference of test contents)? I think deep investigation is not necessary :)",kfunaoka,tier4,1810724,498876,7,11,0,1,92
Feature/gitlab ci,2018-10-10T08:33:58Z,366800316,sgermanserrano,missing,428485829,answered,"The questions above is about your experience after your following modification:

- Within Gitlab CI I've seen that the jobs some time fail with a ""Run out of virtual memory"" error -> Reducing the amount of parallel jobs when running catkin_make seems to solve the issue
- The previous point results in longer time to build -> The timeout is set to 1h by default, but it is straightforward to change it, I set it to 3h to be on the safe side but 2h should suffice",kfunaoka,tier4,1810724,498876,7,11,0,1,92
Feature/gitlab ci,2018-10-10T08:36:30Z,366800316,sgermanserrano,missing,428486623,questioned,"@kfunaoka See answers below:

- > Is it stable compared to Travis in your trials? Does network error or other error appear sometimes in your experience?

I have not yet experienced errors related to the network. The failed jobs were tied to bugs on the gitlab-ci files.

- > How long does the current tests (build & run_tests) takes? It seems there are one and half hour (1:23:18) and more than two hours (02:15:58). Does the difference between one and half hour and more than two hours seem to come from GitLab server load (or difference of test contents)? I think deep investigation is not necessary :)

I'm not sure how the time shown in the pipelines is calculated. If you go inside the pipelines [02:15:58](https://gitlab.com/ServandoGS/Autoware/pipelines/31993443/builds) & [1:23:18](https://gitlab.com/ServandoGS/Autoware/pipelines/32012833/builds), each job has taken less than 1h30min. It might be adding the time till the jobs started.",sgermanserrano,missing,1810724,498876,7,11,0,1,92
Feature/gitlab ci,2018-10-10T10:42:37Z,366800316,sgermanserrano,missing,428525712,answered,"@kfunaoka 

> Within Gitlab CI I've seen that the jobs some time fail with a ""Run out of virtual memory"" error -> Reducing the amount of parallel jobs when running catkin_make seems to solve the issue

This can be solved by running the Gitlab runners on our own infrastructure. Gitlab's hosted runners are rather slow and with not too much memory.",esteve,tier4,1810724,498876,7,11,0,1,92
Feature/gitlab ci,2018-10-25T09:51:35Z,366800316,sgermanserrano,missing,432988460,answered,"I've withdrawn autowarefoundation/autoware#1517 (which used Azure DevOps) in favor of this one. It'd be great to have this PR deployed as soon as possible, either on Gitlab's infrastructure or our own.",esteve,tier4,1810724,498876,7,11,0,1,92
Feature/gitlab ci,2019-02-17T16:12:35Z,366800316,sgermanserrano,missing,464475708,answered,Is Travis CI going to be abandoned in favour of Gitlab CI? Since the current implementation of Travis CI using industrial_ci doesn't seem to support colcon / ament / ROS2 releases and cross builds?,maximosipov,Heading Health,1810724,498876,7,11,0,1,92
Feature/gitlab ci,2019-02-18T09:40:00Z,366800316,sgermanserrano,missing,464658618,questioned,@maximosipov Gitlab CI is currently being used ,sgermanserrano,missing,1810724,498876,7,11,0,1,92
Add Tutorials/HowToStart,2018-10-03T15:27:57Z,366397074,kfunaoka,tier4,,,,,missing,,,0,1,0,2,13
Feature/voxel grid filter dynamic leaf,2018-10-09T04:26:33Z,366214344,YamatoAndo,tier4,428055466,questioned,"@kfunaoka thank you for your review.
I also fixed it.",YamatoAndo,tier4,52184224,506180,3,7,0,5,250
Feature/voxel grid filter dynamic leaf,2018-12-03T09:22:44Z,366214344,YamatoAndo,tier4,443642142,questioned,"@kfunaoka Thanks for comments.
I fixed the code pointed out.",YamatoAndo,tier4,52184224,506180,3,7,0,5,250
Feature/voxel grid filter dynamic leaf,2019-03-15T07:25:24Z,366214344,YamatoAndo,tier4,473184920,answered,@YamatoAndo Is this PR going to be updated so it can be merged?,gbiggs,missing,52184224,506180,3,7,0,5,250
Feature/compare map filter,2018-10-04T03:11:31Z,366212492,YamatoAndo,tier4,426871258,questioned,"@yk-fujii thank you for your review.
Fixed!!",YamatoAndo,tier4,848579,70045,2,8,0,9,395
Feature/compare map filter,2018-10-09T04:11:40Z,366212492,YamatoAndo,tier4,428053385,questioned,"@kfunaoka thank you for your review!
I fixed it, is it OK?",YamatoAndo,tier4,848579,70045,2,8,0,9,395
Feature/vhicle monitor,2018-10-03T02:41:59Z,366153214,hakuturu583,tier4,,,,,missing,,,0,62,0,22,2806
Feature/run tests travis,2018-10-02T10:07:28Z,365827726,sgermanserrano,missing,,,,,missing,,,0,33,0,60,1576
Feature/run tests travis,2018-10-02T09:46:07Z,365819838,sgermanserrano,missing,,,,,missing,,,0,31,0,60,1591
[Fix] Default path of coco.names,2018-10-02T03:12:15Z,365723493,kfunaoka,tier4,,,,,missing,,,0,1,0,1,4
[Fix] Remove importing darknet in Autoware Docker,2019-03-15T07:27:33Z,365705247,kfunaoka,tier4,473185337,answered,@kfunaoka Is this PR still valid? It looks like it might have been superseded by the recent Docker files cleanup.,gbiggs,missing,14456482,14190771,2,1,0,3,12
[Fix] Remove importing darknet in Autoware Docker,2019-03-18T09:16:04Z,365705247,kfunaoka,tier4,473828830,answered,Replaced by #1946 ,amc-nu,tier4,14456482,14190771,2,1,0,3,12
[Feature] add online error code swap function for diag_module,2018-09-26T11:23:09Z,363979713,hakuturu583,tier4,,,,,missing,,,0,9,0,25,1585
#1497 Added cuda library paths to catkin_make_release,2018-10-02T01:09:25Z,363207531,sgermanserrano,missing,426113487,answered,Thanks a lot for this PR!,kfunaoka,tier4,638374,638410,1,1,0,1,5
"Added support for custom class ""names files"" in darknet format.",2018-09-25T14:00:36Z,362923764,amc-nu,tier4,424355000,answered,@amc-nu Can the default coco.names file be used for Yolo3-Tiny? My home PC using Yolo3-Tiny shows `unknown label` for all detected objects.,kfunaoka,tier4,1024699,193363,4,3,0,8,196
"Added support for custom class ""names files"" in darknet format.",2018-09-26T08:25:18Z,362923764,amc-nu,tier4,424629738,questioned,"@kfunaoka Tested the tiny model, seems it is working correctly with the default `coco.names` file. Please make sure the path is correct.",amc-nu,tier4,1024699,193363,4,3,0,8,196
"Added support for custom class ""names files"" in darknet format.",2018-10-02T03:14:45Z,362923764,amc-nu,tier4,426134580,answered,"@amc-nu I've created #1550 for fixing the default path of coco.names. I've confirmed that ""names file"" works fine by changing car to car_rename in coco.names.",kfunaoka,tier4,1024699,193363,4,3,0,8,196
"Added support for custom class ""names files"" in darknet format.",2018-10-02T03:19:22Z,362923764,amc-nu,tier4,426135491,questioned,"Thanks @kfunaoka 
Merged #1550 waiting for your approval and CI before merging to `develop`",amc-nu,tier4,1024699,193363,4,3,0,8,196
Driveworks and CUDA updates for PX2,2018-10-23T16:38:17Z,362697231,esteve,tier4,432324498,questioned,@bdholt1 thanks!,esteve,tier4,2764199,2764193,1,1,0,3,45
fix can't detect objects with euclidean_cluster on 96boards in V1.8 #…,2019-03-15T07:28:21Z,362476902,aicarmark,missing,473185516,answered,@aicarmark Is this PR still valid?,gbiggs,missing,53224845,15122510,1,1,0,1,2
[Feature] diag filter,2018-09-20T04:56:13Z,362018600,hakuturu583,tier4,,,,,missing,,,0,3,0,6,135
[Feature] add disable mode for diag_manager,2018-09-20T02:25:37Z,361994137,hakuturu583,tier4,,,,,missing,,,0,1,0,5,49
Set up CI with Azure Pipelines,2018-09-14T10:46:03Z,360251390,esteve,tier4,421318144,questioned,"@dejanpan @kfunaoka this in no way aims to replace the work in https://gitlab.com/AutowareAuto/AutowareAuto but just as a temporary workaround for the current Travis woes (e.g. https://github.com/CPFL/Autoware/pull/1396). The functionality provided in this PR is equivalent to what we have now with Travis (i.e. fairly limited), but it's just to have something that runs reliably now.

Having said that, I wonder if it'd just make more sense to jump into GitLab right now and have the Apex CI replace the current Travis setup instead of dealing with temporary solutions like this PR.",esteve,tier4,3539479,490,5,9,0,8,354
Set up CI with Azure Pipelines,2018-09-17T11:52:08Z,360251390,esteve,tier4,421983185,answered,"Hey there. I'm a PM on Azure Pipelines. If there's anything I can do to help out, let me know. Happy to be your stopgap while you work through Travis issues, though of course we'd love to be your permanent CI solution!",vtbassmatt,GitHub,3539479,490,5,9,0,8,354
Set up CI with Azure Pipelines,2018-10-25T09:48:57Z,360251390,esteve,tier4,432987635,questioned,"@vtbassmatt thanks for the offer and sorry for the late response. We're most likely going to switch to Gitlab, since we already have #1563 and also the tools that the AutowareAuto project have already written, which use Gitlab as well.

In any case, at a personal level, I have to say that I'm really happy with VSTS/Azure DevOps, I've migrated all my opensource projects from Travis and AppVeyor to it :-)",esteve,tier4,3539479,490,5,9,0,8,354
Set up CI with Azure Pipelines,2018-10-25T09:49:12Z,360251390,esteve,tier4,432987714,questioned,Closing in favor of #1563 ,esteve,tier4,3539479,490,5,9,0,8,354
Set up CI with Azure Pipelines,2018-10-25T15:43:52Z,360251390,esteve,tier4,433102502,answered,"No worries, thanks for looking at us! And we'll be here if you change your minds 😉",vtbassmatt,GitHub,3539479,490,5,9,0,8,354
add diag_lib,2018-09-19T04:38:18Z,359749216,hakuturu583,tier4,422649570,questioned,I squashed all commit and fix CHANGELOG.,hakuturu583,tier4,524630,514842,1,1,0,37,1522
[Fix] Minor fixes for RViz plugins,2018-11-26T09:58:41Z,359727253,drwnz,tier4,441581779,answered,how we can use image viewer plugin? I use vision_darknet_detect to detect cars and want to see bounding boxes in image. What is your solution?,kargarisaac,SUPPLYZ.eu,78343,6417659,1,2,0,2,13
[Feature] Persistent configuration and alphabetically ordered topic lists on ImageViewerPlugin,2018-09-12T09:39:44Z,359396385,drwnz,tier4,,,,,missing,,,0,1,0,3,150
Feature/architecture,2018-09-11T05:22:59Z,357736280,LukePhairatt,missing,420150594,answered,@LukePhairatt can you tell me which SW did you use to generate pngs in this PR? Because every png has a different look....,dejanpan,missing,16615964,391563,4,6,0,6,363
Feature/architecture,2018-09-11T08:28:07Z,357736280,LukePhairatt,missing,420191397,questioned,"@dejanpan I am using plantuml.jar from http://plantuml.com/download
Which one are you using? I don't have any preferences.
",LukePhairatt,missing,16615964,391563,4,6,0,6,363
Feature/architecture,2019-03-15T07:33:00Z,357736280,LukePhairatt,missing,473186597,answered,@LukePhairatt Is this PR still valid?,gbiggs,missing,16615964,391563,4,6,0,6,363
Feature/architecture,2019-03-15T09:42:13Z,357736280,LukePhairatt,missing,473220840,questioned,"Morning Geoffrey, It is no longer valid for me.

On Fri, Mar 15, 2019 at 7:33 AM Geoffrey Biggs <notifications@github.com>
wrote:

> @LukePhairatt <https://github.com/LukePhairatt> Is this PR still valid?
>
> —
> You are receiving this because you were mentioned.
> Reply to this email directly, view it on GitHub
> <https://github.com/CPFL/Autoware/pull/1504#issuecomment-473186597>, or mute
> the thread
> <https://github.com/notifications/unsubscribe-auth/AMbcPaYXC7DCGUT5dgjuh3iGbWssQIA4ks5vW0zOgaJpZM4WdTcH>
> .
>
",LukePhairatt,missing,16615964,391563,4,6,0,6,363
Feature/robosense lidar driver,2018-09-10T07:06:22Z,357494602,amc-nu,tier4,419810081,answered,"@kitsukawa thaks.. i try to compile.. but error..

[  2%] Building CXX object util/packages/RobotSDK/fastvirtualscan/CMakeFiles/fastvirtualscan.dir/FastVirtualScan/fastvirtualscan.cpp.o
[  2%] Building CXX object sensing/drivers/gnss/packages/garmin/CMakeFiles/garmin_gps_18x_lvc.dir/src/garmin_gps_18x_lvc.cc.o
make[1]: *** [computing/perception/localization/lib/ndt_cpu/CMakeFiles/ndt_cpu.dir/all] Error 2
make[1]: *** Waiting for unfinished jobs....
[  2%] Built target pcl_omp_registration
[  2%] Linking CXX shared library /home/puma/Autoware/ros/devel/lib/libfastvirtualscan.so
[  2%] Built target fastvirtualscan
[  2%] Linking CXX executable /home/puma/Autoware/ros/devel/lib/fake_drivers/fake_camera
[  2%] Built target fake_camera
[  2%] Linking CXX executable /home/puma/Autoware/ros/devel/lib/garmin/garmin_gps_18x_lvc
[  2%] Built target garmin_gps_18x_lvc
make: *** [all] Error 2
Invoking ""make -j5"" failed",droneboxid,missing,90732,354093,4,2,0,3,12
Feature/robosense lidar driver,2018-09-10T07:08:34Z,357494602,amc-nu,tier4,419810524,answered,@droneboxid This is another problem so can you make a new issue?,kitsukawa,map4,90732,354093,4,2,0,3,12
Feature/robosense lidar driver,2018-09-10T07:09:40Z,357494602,amc-nu,tier4,419810741,questioned,@droneboxid and add the whole error trace. The actual error is not shown there.,amc-nu,tier4,90732,354093,4,2,0,3,12
Feature/robosense lidar driver,2018-09-10T08:07:18Z,357494602,amc-nu,tier4,419824663,answered,"@amc-nu 
[  2%] Linking CXX executable /home/puma/Autoware/ros/devel/lib/vectacam/vectacam_node
[  2%] Linking CXX shared library /home/puma/Autoware/ros/devel/lib/libfastvirtualscan.so
[  2%] Built target fastvirtualscan
Scanning dependencies of target obj_db
[  2%] Building CXX object data/packages/obj_db/CMakeFiles/obj_db.dir/lib/obj_db/SendData.cpp.o
/usr/bin/ld: cannot find -lQt5::Core
/usr/bin/ld: cannot find -lQt5::Gui
/usr/bin/ld: cannot find -lQt5::Widgets
/usr/bin/ld: cannot find -lQt5::Test
/usr/bin/ld: cannot find -lQt5::Concurrent
/usr/bin/ld: cannot find -lQt5::OpenGL
collect2: error: ld returned 1 exit status
make[2]: *** [/home/puma/Autoware/ros/devel/lib/vectacam/vectacam_node] Error 1
make[1]: *** [sensing/drivers/camera/packages/vectacam/CMakeFiles/vectacam_node.dir/all] Error 2
make[1]: *** Waiting for unfinished jobs....
[  2%] Building CXX object data/packages/obj_db/CMakeFiles/obj_db.dir/lib/obj_db/util.cpp.o
[  2%] Linking CXX shared library /home/puma/Autoware/ros/devel/lib/libobj_db.so
[  2%] Built target obj_db
[  2%] Linking CXX executable /home/puma/Autoware/ros/devel/lib/fake_drivers/fake_camera
/usr/bin/ld: cannot find -lQt5::Core
/usr/bin/ld: cannot find -lQt5::Gui
/usr/bin/ld: cannot find -lQt5::Widgets
/usr/bin/ld: cannot find -lQt5::Test
/usr/bin/ld: cannot find -lQt5::Concurrent
/usr/bin/ld: cannot find -lQt5::OpenGL
collect2: error: ld returned 1 exit status
make[2]: *** [/home/puma/Autoware/ros/devel/lib/fake_drivers/fake_camera] Error 1
make[1]: *** [util/packages/fake_drivers/CMakeFiles/fake_camera.dir/all] Error 2
[  2%] Linking CXX executable /home/puma/Autoware/ros/devel/lib/laser_scan_converter/laser_scan_converter_node
[  2%] Built target laser_scan_converter_node
[  2%] Linking CXX executable /home/puma/Autoware/ros/devel/lib/garmin/garmin_gps_18x_lvc
[  2%] Built target garmin_gps_18x_lvc
[  2%] Linking CXX shared library /home/puma/Autoware/ros/devel/lib/libpcl_omp_registration.so
make[1]: *** [computing/perception/localization/lib/ndt_cpu/CMakeFiles/ndt_cpu.dir/all] Error 2
[  2%] Linking CXX executable /home/puma/Autoware/ros/devel/lib/hokuyo/hokuyo_3d
[  2%] Built target pcl_omp_registration
[  2%] Built target hokuyo_3d
make: *** [all] Error 2
Invoking ""make -j8 -l8"" failed
",droneboxid,missing,90732,354093,4,2,0,3,12
[Fix] Revert platform_automation_msgs,2018-09-06T03:50:10Z,357479775,kfunaoka,tier4,418955787,answered,@kfunaoka thanks!,amc-nu,tier4,5382,2499,1,1,0,1,2
[fix] Hotfix/wf simulator,2018-09-26T07:12:42Z,357111525,hakuturu583,tier4,424610008,answered,"In my environment(hotfix/wf_simulator with develop branch),
z position is always zero.

Please check on another map.
![image](https://user-images.githubusercontent.com/1758804/46063120-d958af80-c1a6-11e8-92e1-25ab790bcf65.png)




```
---
header: 
  seq: 87
  stamp: 
    secs: 1537945698
    nsecs: 186693097
  frame_id: ""map""
pose: 
  position: 
    x: -47295.9411573
    y: 57583.1006171
    z: 0.0
  orientation: 
    x: 0.0
    y: 0.0
    z: -0.502845726434
    w: 0.864376177024
---
```",yk-fujii,missing,16487420,1811191,1,9,0,2,69
feature/data_rate_checker_plugin,2018-09-07T05:10:55Z,356519337,drwnz,tier4,419324592,answered,"Thanks @drwnz
Great work",amc-nu,tier4,313568,313545,1,7,0,5,529
[Release] 1.8.0 merged back to develop,2018-08-31T09:28:54Z,355906785,kfunaoka,tier4,,,,,missing,,,0,6,0,268,2241
[Release] 1.8.0,2018-08-31T09:37:54Z,355808737,kfunaoka,tier4,417610722,questioned,This pull request will be merged after Travis succeeds.,kfunaoka,tier4,38672,29197,1,162,0,995,87210
fixes two typos in yolo class name/id file,2018-08-30T08:40:20Z,355482494,amc-nu,tier4,,,,,missing,,,0,1,0,1,4
[Fix] two typos in yolo class name/id file,2018-08-30T08:39:11Z,355417799,jacoblambert,map4,417238184,answered,Fixes autowarefoundation/autoware_ai#279,amc-nu,tier4,15972,15873,1,1,0,1,4
[Feature] waypoint generator with vector_map,2018-08-29T15:00:24Z,355202773,yn-mrse,tier4,,,,,missing,,,0,6,0,7,456
[Feature] limit angular velocity,2019-03-15T07:33:57Z,355174367,yn-mrse,tier4,473186808,answered,@yn-mrse Is this PR still valid?,gbiggs,missing,17350506,17084080,1,9,0,3,81
[Feature] devide waypoint_loader functions,2018-08-29T13:42:50Z,355167012,yn-mrse,tier4,,,,,missing,,,0,2,0,19,934
[Feature] expand control points for pure_pursuit,2018-08-29T12:37:49Z,355140351,yn-mrse,tier4,,,,,missing,,,0,9,0,12,270
Feature/beyond pixel tracker,2018-08-29T09:46:15Z,355081263,amc-nu,tier4,,,,,missing,,,0,9,0,26,6846
Feature/beyond pixel tracker,2018-08-30T09:52:46Z,355080642,amc-nu,tier4,417261530,questioned,@kfunaoka I don't see where is the modification. can you please point it or push a commit fixing the error?,amc-nu,tier4,1052824,86878,2,16,0,26,7001
Feature/beyond pixel tracker,2018-09-06T03:39:25Z,355080642,amc-nu,tier4,418954205,answered,@amc-nu You can see the change at e71cdf0. I've created the pull request autowarefoundation/autoware#1498 reverting the change. I'll deep-dive into this pull request.,kfunaoka,tier4,1052824,86878,2,16,0,26,7001
fix transformation from localizer to base_link in ndt_mapping,2018-08-29T05:25:52Z,355001906,kitsukawa,map4,,,,,missing,,,0,1,0,1,7
tx2docker,2018-09-18T14:50:14Z,353600037,Squigglywave,missing,422425224,answered,@T-Shota Could you test this PR?,yk-fujii,missing,55667128,2212106,20,12,0,5,360
tx2docker,2018-09-24T03:41:10Z,353600037,Squigglywave,missing,423871251,answered,"OK, I’ll test it.",T-Shota,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-03-15T07:36:05Z,353600037,Squigglywave,missing,473187282,answered,@Squigglywave @T-Shota What is the status of this PR?,gbiggs,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-03-15T16:39:00Z,353600037,Squigglywave,missing,473357587,questioned,@gbiggs I changed it to the version that I have tested against. I have not tested it with the most current branch.,Squigglywave,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-03-25T04:00:53Z,353600037,Squigglywave,missing,476047327,answered,"@Squigglywave Thanks for your PR we finally got a TX2 to test. However, we found that your Dockerfile works only with a specific [commit](https://github.com/autowarefoundation/autoware/commit/e9c9bab2471524c14303f645ca6983d6c9113d3c). Can you please instead clone the master branch? 

This is the error we got while using your Dockerfile on `Step 14/14`
```
ERROR: the following packages/stacks could not have their rosdep keys resolved
to system dependencies:
as: Cannot locate rosdep definition for [module_comm_msgs]
```
But this package was replaced in version [1.10](https://github.com/autowarefoundation/autoware/blob/21e268d2beb20b325b2236186198b7ab2ffd4624/ros/src/actuation/vehicles/packages/as/CHANGELOG.rst#1100-2019-01-17) with [`automotive_platform_msgs`](http://wiki.ros.org/automotive_platform_msgs)
",amc-nu,tier4,55667128,2212106,20,12,0,5,360
tx2docker,2019-03-25T05:40:48Z,353600037,Squigglywave,missing,476061789,answered,"@Squigglywave 
This is the stdout and stderr log file.
[stdout_error.log](https://github.com/autowarefoundation/autoware/files/3001691/stdout_error.log)
",sousou1,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-03-25T19:15:58Z,353600037,Squigglywave,missing,476339646,questioned,@amc-nu @sousou1  It looks like it is something related to submodules not getting downloaded correctly. I was unable to reproduce the error after successfully compiling with the dockerfile for the current master branch. ([commit](https://github.com/autowarefoundation/autoware/commit/276073b87d26a085d437ff54b003919e0ce5c65b)) All I did was comment out the one line that changed branches for Autoware in the dockerfile.,Squigglywave,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-03-26T21:48:05Z,353600037,Squigglywave,missing,476866109,questioned,"Not entirely sure how the licensing stuff works, but the NVIDIA stuff were from [JetPack 3.2.1](https://developer.nvidia.com/embedded/jetpack-archive). Also, should I remove Darknet YOLOv3 weights from the dockerfile?",Squigglywave,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-03-30T10:23:34Z,353600037,Squigglywave,missing,478231719,answered,"@Squigglywave 

I tested on tx2 in the initial state.

At first, when Docker ran with the host clean, almost nothing was started. It seemed to depend on the host, so next I installed ros-kinetic-desktop-full on the host. Then Runtime Manager and Rviz ran in container ,but gazebo doesn’t run.

I checked Host-container libraries.
“txdocker” line 28 and line 45, this is added to the Docker run option.
```
-v /usr/lib/aarch64-linux-gnu:/usr/lib/aarch64-linux-gnu
```
GPU libraries is brought from the host.
However, this is  also overwritten the libraries  except GPU.
Therefore, container Libraries disappears, and Libraries which does not exist in the host seems to not work on Docker.

It seems to depend more on the host environment, so I need more information on what to install on the host tx2 to continue testing.
I installed on the host
```
Webpack 3.2.1
docker-ce
ros-kinetic-desktop-full
```
Could you tell me what to install on the host?",sousou1,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-03-31T23:30:10Z,353600037,Squigglywave,missing,478395807,answered,"And apt-get could not be executed without --allow-unauthenticated.
I changed some
```
sudo apt-get -y
```
to
```
sudo apt-get -y --allow-unauthenticated
```
",sousou1,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-04-01T16:21:08Z,353600037,Squigglywave,missing,478647255,questioned,"@sousou1 Thanks for all the feedback. I have not ran Autoware with gazebo before. Instead, I used the wf_simulator and ROSbag for simulation. I have also run it live with the hardware requirements. I typically run OpenPlanner and waypoint_follower.

Last time I did it from the initial state, the host only had JetPack and ROS. I was able to build it without the ""--allow-unauthenticated"", but I will reinstall everything from scratch to see if I come across that problem.",Squigglywave,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-04-03T21:40:39Z,353600037,Squigglywave,missing,479669200,questioned,"@sousou1 I was able to build the autoware image without needing to add ""--allow-unauthenticated"" to apt-get. I also did made some slight changes to the dockerfile, build and run to be able to run gazebo. I was able to run gazebo on the command line, but not entirely sure how to use it in Autoware.",Squigglywave,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-04-04T02:50:55Z,353600037,Squigglywave,missing,479729900,answered,"@Squigglywave 
Thank you for reflecting. 
I got a new tx2 one more , so I will test on it again.",sousou1,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-04-09T20:44:26Z,353600037,Squigglywave,missing,481428275,answered,"@Squigglywave 
Thank you !
The test went well except for one point. It seems that GPU is also usable.

There was one error.
In launch  localization,
```No such file /home/autoware/Autoware/ros/install/runtime_manager/share/runtime_manager/scripts/setup_tf.launch```
so
I have copied file from ```/home/autoware/Autoware/ros/src/utill/packages/runtime_manager/scripts/```
After this work, I was able launch localization.
Did you get this error?


In addition, I may want you to confirm two points.


• It is too dependent on the host, especially the ROS part. 
An optional docker run, -v /usr/lib/aarch64-linux-gnu: /usr/lib/aarch64-linux-gnu
Because of this, the library of ROS in docker has disappeared. Can not run ROS in docker without erasing? (It is desirable to run even if ROS is not installed on the host)

• Build on tx2  takes time. Can I bring a docker image built on a PC to tx2? I thought it would be nice to be like docker hub in the future.",sousou1,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-04-11T00:50:55Z,353600037,Squigglywave,missing,481923939,questioned,"@sousou1 Hello again! 
- Thanks for pointing out the one line in txdocker. It turns out after building it and running it without that line Autoware works fine for me. I was able to access the GPU resources and ROS was running without it installed on the host. 
- When clicking the TF in runtime_manager, my instance successfully found the setup_tf.launch file. 
- I can look into pushing the image onto dockerhub and will let you know when I push it onto dockerhub.",Squigglywave,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-04-12T15:31:24Z,353600037,Squigglywave,missing,482618732,questioned,"@sousou1 
- I pushed the image I built on dockerhub [here](https://hub.docker.com/r/squigglywave/autoware-tx2) I was able to pull and run Autoware, but the image name changed to squigglywave/autoware-tx2. 
- ROS and the Autoware  ROS nodes seem to run fine for me, though I have not tested it with an actual setup.",Squigglywave,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-04-15T01:26:05Z,353600037,Squigglywave,missing,483078109,answered,"@Squigglywave 
Thank you for fixing it！ I will test it.

In addition, is it possible to create a cross compiler script for tx2? (like this https://github.com/autowarefoundation/autoware/tree/master/docker/crossbuild)",sousou1,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-04-16T09:22:15Z,353600037,Squigglywave,missing,483581577,answered,"I have implemented the v1.10 to tx2, build it from the source by the colcon tool",rorypeck,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-04-16T09:29:30Z,353600037,Squigglywave,missing,483584171,answered,"The latest commit (and dockerhub) test was successful. 


I'm sorry for to say about the error
```
No such file 

/home/autoware/Autoware/ros/install/runtime_manager/share/runtime_manager/scripts/setup_tf.launch

```
This error is an Autoware issue and has been fixed in the last merge.
https://github.com/autowarefoundation/autoware/pull/2206",sousou1,missing,55667128,2212106,20,12,0,5,360
tx2docker,2019-04-16T16:24:55Z,353600037,Squigglywave,missing,483733426,questioned,"@sousou1 No problem. Thanks for testing and glad it all works out. Since I am not experienced with cross-compiling, do you know how those scripts work? I can try to create one after looking into them.",Squigglywave,missing,55667128,2212106,20,12,0,5,360
Feature/tx2docker,2018-08-24T00:19:19Z,353599634,Squigglywave,missing,,,,,missing,,,0,159,0,833,85364
[fix] Larger queue size to achieve synchronization in obj_fusion,2019-03-15T07:47:34Z,352948133,alexampa,missing,473189843,answered,@alexampa Is this PR still valid?,gbiggs,missing,18104497,17692446,3,1,0,1,7
[fix] Larger queue size to achieve synchronization in obj_fusion,2019-03-19T17:09:36Z,352948133,alexampa,missing,474474064,questioned,"As I can see, the code in obj_fusion.cpp file has not changed, so theoretically the problem should persist. However, I don't monitor this repo any more and presently, I'm not able to check whether the PR is still valid. So, you can do as you wish.",alexampa,missing,18104497,17692446,3,1,0,1,7
[fix] Larger queue size to achieve synchronization in obj_fusion,2019-03-20T02:15:05Z,352948133,alexampa,missing,474656679,answered,"@alexampa Thanks for your contribution to Autoware. These fusion nodes were deprecated since 1.8, and haven't been updated for a while. We removed them in autowarefoundation/autoware_ai#389, and will not be available any more in the next relase 1.11. You can use instead fusion_tools. I apologize for the late reply to your PR.",amc-nu,tier4,18104497,17692446,3,1,0,1,7
Feature/naive l shape fitting,2018-08-21T02:38:01Z,352017198,k0suke-murakami,missing,414530766,answered,@cirpue49 It seems that there is unintended change of Submodule platform_automation_msgs updated from 51ceed to db70b0. It's better to check if all diff are intended before creating pull requests.,kfunaoka,tier4,926946,68623,5,38,0,10,656
Feature/naive l shape fitting,2018-08-22T02:25:36Z,352017198,k0suke-murakami,missing,414886558,questioned,"Thank you so much for reviewing @kfunaoka !
I hope my code is getting better.",k0suke-murakami,missing,926946,68623,5,38,0,10,656
